,method,1,2,3,4,5,10,50
0,direness,4096,1024,256,1024,512,512,256
1,simple,8192,2048,2048,512,512,256,128
2,weighted,8192,2048,2048,512,512,256,256
3,max,8192,1024,512,512,256,256,256
